id;tracking_code;date;details;invoice_id
1;contextually-based;2019-07-25T16:37:18;Jewelery cutting-edge;4
2;Hat;2019-07-25T19:20:53;Bedfordshire Bahamian Dollar;3
3;User-centric Gloves;2019-07-26T02:54:57;Oklahoma facilitate;1
4;Versatile Exclusive Moroccan Dirham;2019-07-25T15:04:19;Plastic;10
5;mission-critical;2019-07-25T08:43:39;paradigms Home;4
6;deposit Canadian Dollar Lebanon;2019-07-25T21:25:10;Dominican Republic Credit Card Account Handmade;4
7;Re-contextualized;2019-07-25T12:53:28;Point Orchestrator;4
8;bypassing optical;2019-07-26T04:32:56;Bedfordshire;7
9;HDD;2019-07-26T00:20:36;red firewall open-source;4
10;Rustic Quality;2019-07-25T22:37:28;Cambridgeshire hacking;7
